0.37372,0.011603,0.36172,0.38488
0.21637,0.018129,0.2043,0.23722
-0.30445,0.0067467,-0.31178,-0.2985
0.20988,0.0039172,0.20666,0.21424
0.044996,0.011834,0.034745,0.057946
0.30577,0.011048,0.29483,0.31692
0.30394,0.0069395,0.29774,0.31144
0.14057,0.08502,0.077177,0.23719
0.12835,0.097129,0.016412,0.19035
0.028982,0.039443,0.0032235,0.07439
0.60761,0.37013,0.26049,0.99711
0.60201,0.51262,0.015679,0.96543
0.14673,0.053694,0.092614,0.19999
0.59046,0.50797,0.0087467,0.94645
0.60258,0.37306,0.25344,0.99566
0.98724,0.006766,0.97975,0.99292
0.12873,0.058096,0.07552,0.19071
0.07956,0.016379,0.06093,0.091696
-0.58476,0.027035,-0.6107,-0.55675
0.023379,0.025605,-0.006102,0.040063
0.023379,0.025605,-0.006102,0.040063
0.023379,0.025605,-0.006102,0.040063
0.0017933,0.0010473,0.0011553,0.003002
